min_run_number,max_run_number,path
4361,4957,/eos/user/j/jutesare/SiPMCalibration/constantsJSON/averageMIPpeakPos_r4449-4819.json
4958,5846,/eos/user/j/jutesare/SiPMCalibration/constantsJSON/averageMIPpeakPos_r4958-5408.json
5847,6135,/eos/user/j/jutesare/SiPMCalibration/constantsJSON/averageMIPpeakPos_r5847-6134.json
6136,7033,/eos/user/j/jutesare/SiPMCalibration/constantsJSON/averageMIPpeakPos_r6136-6674.json
7034,7818,/eos/user/j/jutesare/SiPMCalibration/constantsJSON/averageMIPpeakPos_r7034-7789.json
7819,8394,/eos/user/j/jutesare/SiPMCalibration/constantsJSON/averageMIPpeakPos_r7819-8351.json
8395,8554,/eos/user/j/jutesare/SiPMCalibration/constantsJSON/averageMIPpeakPos_r8395-8533.json
8555,10984,/eos/user/j/jutesare/SiPMCalibration/constantsJSON/averageMIPpeakPos_r8555-10422.json
10985,11383,/eos/user/j/jutesare/SiPMCalibration/constantsJSON/averageMIPpeakPos_r10985-11303.json
11384,12926,/eos/user/j/jutesare/SiPMCalibration/constantsJSON/averageMIPpeakPos_r11384-12798.json
12927,13266,/eos/user/j/jutesare/SiPMCalibration/constantsJSON/averageMIPpeakPos_r12927-13247.json
13267,13853,/eos/user/j/jutesare/SiPMCalibration/constantsJSON/averageMIPpeakPos_r13267-13526.json
